Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Ganhadores_15_Numeros,Ganhadores_14_Numeros,Ganhadores_13_Numeros,Ganhadores_12_Numeros,Ganhadores_11_Numeros,Valor_Rateio_15_Numeros,Valor_Rateio_14_Numeros
1290,11/27/2015,1,3,4,5,6,11,13,14,16,19,20,21,22,23,25,0,255,11112,147112,892183,"R$ 0,00","R$ 2.186,98"
1291,11/30/2015,1,6,7,8,10,11,12,13,15,16,18,19,20,21,24,0,360,14360,208756,1175327,"R$ 0,00","R$ 2.132,72"
1292,12/2/2015,1,2,3,7,8,10,11,14,15,17,19,22,23,24,25,5,981,31464,350049,1780845,"R$ 1.421.825,26","R$ 1.255,22"
1293,12/4/2015,1,2,7,8,9,10,11,12,13,15,17,18,20,22,24,5,835,24797,278959,1225827,"R$ 295.302,17","R$ 777,26"
1294,12/7/2015,2,5,6,7,8,10,11,12,13,14,16,18,20,23,25,2,499,20787,233089,1109506,"R$ 785.901,18","R$ 1.384,57"
1295,12/9/2015,3,6,9,10,11,12,13,14,15,17,18,19,23,24,25,2,362,13635,171675,1048874,"R$ 932.778,76","R$ 1.585,69"
1296,12/11/2015,5,7,9,10,11,14,15,16,17,18,19,20,21,23,25,1,415,16444,226130,1115664,"R$ 1.638.944,19","R$ 1.735,93"
1297,12/14/2015,1,2,5,6,7,8,9,10,11,12,16,17,18,19,22,4,302,9936,145129,863204,"R$ 559.760,88","R$ 2.281,25"
1298,12/16/2015,2,3,4,6,7,9,12,17,18,20,21,22,23,24,25,2,355,13576,168410,938535,"R$ 1.002.996,03","R$ 1.738,67"
1299,12/18/2015,1,3,5,7,8,11,13,17,18,19,20,21,22,23,25,2,736,35627,277123,1211505,"R$ 461.287,61","R$ 550,98"
1300,12/21/2015,2,6,7,9,10,11,12,13,14,15,18,20,23,24,25,2,335,13345,188431,1025521,"R$ 877.972,18","R$ 1.612,81"
1301,12/23/2015,1,2,3,4,6,7,9,10,14,16,17,19,22,24,25,1,282,13355,165552,892009,"R$ 2.116.913,81","R$ 2.309,78"
1302,12/26/2015,3,4,6,9,11,12,13,14,15,16,17,18,20,22,25,2,127,5639,80419,501657,"R$ 604.196,01","R$ 2.927,66"
1303,12/28/2015,1,5,8,9,10,11,13,14,15,16,18,19,20,22,23,3,334,11666,150905,831540,"R$ 426.530,54","R$ 1.684,00"
1304,12/30/2015,1,2,3,7,8,10,11,13,14,17,18,19,20,21,25,3,500,17101,208067,1032067,"R$ 503.584,09","R$ 1.328,13"
1305,1/2/2016,2,3,4,5,6,7,8,11,12,13,15,17,20,23,25,0,151,5886,80509,468054,"R$ 0,00","R$ 1.480,97"
1306,1/4/2016,1,2,5,6,7,9,12,13,14,15,18,19,20,22,23,0,341,11700,139163,788411,"R$ 0,00","R$ 1.404,83"
1307,1/6/2016,3,4,6,8,9,10,12,13,14,15,16,18,20,21,23,1,654,22954,262771,1349431,"R$ 4.555.976,78","R$ 1.527,23"
1308,1/8/2016,3,5,6,7,8,9,11,14,16,17,19,20,22,23,25,1,385,13798,174497,965452,"R$ 2.044.927,03","R$ 1.634,31"
1309,1/11/2016,2,4,5,6,8,10,12,13,14,16,18,19,20,24,25,4,1688,30175,222792,942705,"R$ 363.000,04","R$ 378,10"
1310,1/13/2016,1,2,3,4,5,7,8,10,11,15,17,18,19,21,23,2,391,17284,220783,1084752,"R$ 758.990,85","R$ 1.706,50"
1311,1/15/2016,2,3,5,6,8,10,11,12,14,15,17,18,20,23,25,9,1343,27888,254533,1100353,"R$ 138.854,57","R$ 409,02"
1312,1/18/2016,1,2,4,5,6,7,9,11,13,18,19,20,23,24,25,5,484,15880,192710,1046100,"R$ 324.262,22","R$ 1.472,44"
1313,1/20/2016,1,4,8,10,11,13,15,16,17,20,21,22,23,24,25,4,518,16303,182920,969011,"R$ 403.720,52","R$ 1.370,34"
1314,1/22/2016,3,5,8,9,10,11,14,15,16,18,19,21,22,24,25,2,464,15387,178274,973988,"R$ 940.485,57","R$ 1.781,89"
1315,1/25/2016,1,2,3,4,5,8,10,11,12,14,16,18,19,23,25,5,453,14800,171672,917120,"R$ 310.723,62","R$ 1.507,52"
1316,1/27/2016,1,2,3,4,5,6,11,12,15,17,19,20,23,24,25,2,298,11061,151994,903039,"R$ 905.082,28","R$ 1.869,04"
1317,1/29/2016,1,3,5,7,8,9,10,11,14,16,20,22,23,24,25,3,352,14678,189962,1003541,"R$ 571.820,42","R$ 1.499,53"
1318,2/1/2016,1,2,3,4,6,7,8,9,12,13,14,15,17,20,23,4,349,12941,195443,937575,"R$ 440.233,11","R$ 1.552,51"
1319,2/3/2016,3,5,6,8,9,10,11,13,14,15,17,19,22,23,25,12,1044,25624,248998,1149055,"R$ 95.885,50","R$ 484,45"
1320,2/5/2016,2,3,4,5,9,11,12,13,15,16,17,21,22,23,25,3,235,11172,180873,992435,"R$ 666.899,87","R$ 2.619,57"
1321,2/10/2016,2,3,4,6,7,9,10,11,13,14,18,19,20,23,24,3,466,14949,178223,875280,"R$ 462.091,45","R$ 1.307,62"
1322,2/12/2016,1,2,6,7,8,9,11,13,15,16,17,18,21,24,25,3,421,12926,169900,976924,"R$ 665.937,46","R$ 1.460,12"
1323,2/15/2016,1,4,5,6,9,10,11,13,14,17,19,20,21,22,23,7,497,14238,171286,905305,"R$ 250.058,34","R$ 1.548,10"
1324,2/17/2016,1,4,5,6,7,8,10,11,13,17,18,19,21,24,25,2,381,13771,169561,951848,"R$ 833.678,89","R$ 1.346,55"
1325,2/19/2016,2,3,5,6,7,9,10,14,15,16,18,19,20,21,25,1,289,12989,170153,911362,"R$ 1.841.784,96","R$ 1.960,91"
1326,2/22/2016,1,3,4,6,8,9,10,17,18,19,20,21,22,24,25,0,193,8671,125305,800309,"R$ 0,00","R$ 3.466,84"
1327,2/24/2016,1,3,4,5,7,10,13,14,16,17,18,20,22,23,25,3,658,21376,248368,1276329,"R$ 1.436.716,31","R$ 1.426,61"
1328,2/26/2016,2,5,6,8,9,10,13,15,16,17,21,22,23,24,25,1,319,11217,155678,927499,"R$ 1.858.266,84","R$ 1.792,40"
1329,2/29/2016,2,3,4,5,7,10,11,13,15,16,18,22,23,24,25,4,451,19474,213125,1041507,"R$ 324.452,68","R$ 1.264,89"
1330,3/2/2016,4,5,7,10,12,13,16,17,18,19,20,22,23,24,25,0,311,11888,176864,974352,"R$ 0,00","R$ 1.760,46"
1331,3/4/2016,1,2,3,5,6,7,10,11,14,15,16,18,23,24,25,6,657,22922,261924,1382391,"R$ 648.857,16","R$ 1.414,18"
1332,3/7/2016,1,4,5,6,8,11,12,13,14,15,16,18,20,21,24,1,345,13581,175074,934638,"R$ 1.937.850,89","R$ 1.728,30"
1333,3/9/2016,3,4,5,7,8,9,10,11,12,14,17,18,20,22,24,3,638,19203,201852,1013563,"R$ 553.000,59","R$ 1.142,99"
1334,3/11/2016,3,4,6,7,9,10,11,13,15,16,17,18,19,21,22,1,380,14411,174810,963437,"R$ 2.034.557,16","R$ 1.647,41"
1335,3/14/2016,1,3,4,6,7,9,10,11,13,16,17,18,23,24,25,10,914,20428,209721,1089847,"R$ 139.326,27","R$ 670,04"
1336,3/16/2016,6,8,9,10,11,12,13,14,15,17,18,19,20,22,24,1,410,20608,152330,892353,"R$ 1.877.886,70","R$ 1.409,29"
1337,3/18/2016,1,3,5,6,8,9,10,12,13,15,16,19,21,23,25,22,2099,32325,268595,1042702,"R$ 52.214,17","R$ 240,55"
1338,3/21/2016,1,2,3,4,6,7,10,11,12,13,14,15,16,17,19,2,379,11675,159727,796478,"R$ 1.005.069,51","R$ 1.631,94"
1339,3/23/2016,2,3,4,5,6,7,8,11,13,14,16,20,21,23,24,0,260,11804,148640,872706,"R$ 0,00","R$ 2.237,51"
1340,3/26/2016,1,2,4,5,7,9,10,12,13,14,16,17,18,19,22,3,408,15710,184855,974772,"R$ 1.193.709,44","R$ 1.821,19"
1341,3/28/2016,1,3,4,8,9,10,13,14,15,16,17,20,21,23,24,2,325,9960,125066,684496,"R$ 759.613,22","R$ 1.438,32"
1342,3/30/2016,1,2,3,5,9,10,11,12,13,15,20,21,23,24,25,1,457,15279,214667,1050535,"R$ 1.135.172,01","R$ 1.091,85"
1343,4/1/2016,2,4,5,9,10,11,13,14,15,16,17,19,21,23,24,2,694,18630,194539,989795,"R$ 833.864,22","R$ 1.056,29"
1344,4/4/2016,2,4,6,7,8,10,11,12,13,17,18,21,23,24,25,4,396,15962,190307,986811,"R$ 407.494,12","R$ 1.809,27"
1345,4/6/2016,1,3,7,8,9,10,11,14,15,17,19,21,22,24,25,2,439,18907,204196,1020974,"R$ 801.675,99","R$ 1.605,39"
1346,4/8/2016,2,3,5,7,8,10,11,14,15,18,19,20,21,23,25,8,856,23217,243097,1158977,"R$ 168.503,79","R$ 692,22"
1347,4/11/2016,1,3,5,6,7,8,10,12,13,14,17,18,20,23,24,2,638,19581,203590,1021405,"R$ 736.262,22","R$ 1.014,51"
1348,4/13/2016,1,2,6,7,8,9,10,14,15,18,20,21,22,24,25,2,218,8405,127862,842578,"R$ 1.126.117,01","R$ 3.178,88"
1349,4/15/2016,2,3,4,5,6,7,8,12,14,16,18,19,21,24,25,3,389,12988,161542,876018,"R$ 646.480,17","R$ 1.534,07"
1350,4/18/2016,1,5,6,8,9,11,12,13,14,16,18,19,20,21,23,1,335,12967,162153,883131,"R$ 1.681.533,40","R$ 1.544,46"
1351,4/20/2016,2,4,6,7,10,11,13,17,19,20,21,22,23,24,25,3,550,17889,197896,948466,"R$ 480.671,98","R$ 1.152,46"
1352,4/22/2016,6,8,10,11,12,13,14,15,16,19,20,21,23,24,25,2,283,9882,138706,744154,"R$ 696.639,39","R$ 1.514,85"
1353,4/25/2016,3,5,7,8,9,10,11,12,14,18,21,22,23,24,25,1,284,12573,169011,912056,"R$ 1.589.007,19","R$ 1.721,57"
1354,4/27/2016,1,2,3,5,7,9,11,12,13,14,15,18,20,21,24,1,398,14350,177710,938810,"R$ 1.351.856,57","R$ 1.493,02"
1355,4/29/2016,1,2,3,4,6,7,8,11,15,16,18,20,21,22,24,0,267,11480,150557,823633,"R$ 0,00","R$ 2.299,49"
1356,5/2/2016,3,4,6,8,9,10,11,12,13,14,15,16,17,19,20,2,703,30330,219973,1206589,"R$ 2.307.596,13","R$ 1.638,07"
1357,5/4/2016,3,7,8,9,10,11,12,13,15,17,18,20,21,22,23,4,489,16907,221212,1112080,"R$ 360.584,96","R$ 1.296,51"
1358,5/6/2016,1,2,3,4,6,8,9,13,15,17,18,19,20,22,23,0,324,14569,181256,1006184,"R$ 0,00","R$ 1.872,29"
1359,5/9/2016,3,5,7,8,9,11,13,14,15,16,17,18,20,21,23,11,1007,32025,348930,1521253,"R$ 306.894,18","R$ 612,98"
1360,5/11/2016,1,2,3,4,5,6,8,10,11,12,14,18,20,23,24,2,481,20039,221298,1083809,"R$ 770.643,35","R$ 1.408,50"
1361,5/13/2016,1,4,5,11,12,13,14,15,16,17,18,19,20,23,25,5,319,11848,140601,841540,"R$ 486.538,18","R$ 2.346,46"
1362,5/16/2016,1,3,4,6,9,10,11,12,13,16,21,22,23,24,25,2,325,11719,155593,884422,"R$ 1.041.679,46","R$ 1.972,41"
1363,5/18/2016,5,7,9,10,12,13,14,15,16,17,19,20,21,22,23,3,421,15246,180410,977211,"R$ 520.736,17","R$ 1.631,08"
1364,5/20/2016,1,6,9,10,11,12,13,15,16,17,18,20,22,24,25,3,320,13872,176891,983528,"R$ 587.109,21","R$ 1.693,58"
1365,5/23/2016,2,3,6,9,10,12,14,15,19,20,21,22,23,24,25,1,419,13246,155263,882556,"R$ 1.904.525,91","R$ 1.398,59"
1366,5/25/2016,4,8,9,10,11,12,13,14,15,16,17,21,22,24,25,2,327,10541,135701,841569,"R$ 974.026,17","R$ 1.833,03"
1367,5/27/2016,2,3,4,5,6,7,9,14,15,16,17,18,20,23,24,0,245,9616,130964,704946,"R$ 0,00","R$ 1.938,42"
1368,5/30/2016,5,7,8,10,11,12,14,16,18,19,20,22,23,24,25,6,597,19780,239981,1224623,"R$ 575.167,87","R$ 1.404,48"
1369,6/1/2016,3,4,5,9,10,11,12,13,14,16,17,18,21,22,24,2,354,12730,162960,898567,"R$ 977.595,28","R$ 1.699,43"
1370,6/3/2016,2,4,5,7,8,11,13,14,17,18,20,21,22,24,25,10,967,20770,202339,987659,"R$ 173.084,30","R$ 786,77"
1371,6/6/2016,3,4,5,7,13,15,17,18,19,20,21,22,23,24,25,1,457,14999,196143,1062956,"R$ 1.479.264,70","R$ 1.422,81"
1372,6/8/2016,1,2,3,5,7,9,10,13,15,16,17,18,21,23,25,8,827,33136,283116,1161896,"R$ 123.580,02","R$ 525,47"
1373,6/10/2016,1,2,3,4,5,6,7,8,12,17,18,20,21,23,24,1,299,11758,159675,910610,"R$ 2.060.113,87","R$ 2.120,00"
1374,6/13/2016,2,3,4,5,6,9,10,14,15,16,19,20,21,23,25,4,415,15294,164357,867983,"R$ 445.683,10","R$ 1.888,23"
1375,6/15/2016,1,5,6,9,10,11,14,15,16,18,20,22,23,24,25,4,547,16358,194314,945561,"R$ 391.002,59","R$ 1.256,81"
1376,6/17/2016,1,3,4,5,6,12,13,14,15,16,18,19,20,22,24,1,283,11980,151311,848045,"R$ 2.003.207,53","R$ 2.177,99"
1377,6/20/2016,1,5,6,8,9,10,12,13,15,17,19,20,21,22,25,4,526,16628,183159,930239,"R$ 407.193,15","R$ 1.361,11"
1378,6/22/2016,1,2,3,6,8,10,12,13,17,19,20,21,23,24,25,2,533,16161,181979,930839,"R$ 709.072,19","R$ 1.169,53"
1379,6/24/2016,1,2,4,5,7,8,9,10,12,14,15,17,18,21,22,1,327,11826,141029,773085,"R$ 1.560.287,63","R$ 1.468,16"
1380,6/27/2016,3,4,5,6,8,11,12,14,15,16,17,21,22,24,25,0,313,9843,130028,758455,"R$ 0,00","R$ 1.899,54"
1381,6/29/2016,1,4,6,8,9,10,12,13,14,16,17,18,19,21,25,0,337,14696,187918,1087939,"R$ 0,00","R$ 2.250,91"
1382,7/1/2016,1,6,10,12,13,14,15,16,17,18,19,20,21,22,24,3,528,22525,311719,1565243,"R$ 2.605.655,27","R$ 1.992,63"
1383,7/4/2016,2,6,7,8,9,13,14,15,16,17,20,21,22,24,25,2,275,10838,149604,896966,"R$ 1.119.973,17","R$ 2.506,24"
1384,7/6/2016,3,4,6,8,9,11,12,13,15,18,19,20,22,24,25,2,536,17737,198608,1029985,"R$ 889.883,09","R$ 1.459,54"
1385,7/8/2016,4,5,8,9,10,11,12,13,14,15,17,18,19,20,23,2,686,20764,228927,1084765,"R$ 827.349,85","R$ 1.060,26"
1386,7/11/2016,1,2,3,4,7,9,13,16,17,18,19,21,22,24,25,4,304,12853,168118,912891,"R$ 456.959,02","R$ 1.850,03"
1387,7/13/2016,1,3,4,5,6,7,9,11,12,13,14,15,16,18,24,2,344,13735,209059,948576,"R$ 913.791,09","R$ 1.634,69"
1388,7/15/2016,1,3,5,7,8,10,11,12,15,18,19,20,21,23,25,13,1252,32128,300963,1144718,"R$ 79.406,89","R$ 362,42"
1389,7/18/2016,1,2,4,5,6,8,10,12,14,15,16,17,18,20,21,7,597,18816,195278,914592,"R$ 240.726,74","R$ 1.240,69"
1390,7/20/2016,3,5,6,7,8,11,13,14,15,16,17,18,20,21,23,2,2519,20791,247393,1046971,"R$ 616.220,46","R$ 215,05"
1391,7/22/2016,1,3,5,6,10,11,12,15,16,17,19,20,21,24,25,4,647,18464,199698,1018676,"R$ 408.525,42","R$ 1.110,17"
1392,7/25/2016,1,2,3,4,8,9,14,15,16,17,18,20,21,22,25,1,180,8931,122749,783720,"R$ 2.165.677,53","R$ 3.702,01"
1393,7/27/2016,3,4,5,7,9,10,11,12,13,14,17,18,20,22,23,7,652,20524,214954,1008300,"R$ 178.061,80","R$ 840,31"
1394,7/29/2016,3,4,5,6,9,10,11,14,15,16,18,19,21,22,23,4,502,13429,156810,866193,"R$ 519.998,22","R$ 1.821,28"
1395,8/1/2016,5,6,7,8,11,12,13,14,16,17,18,19,22,23,25,2,356,12497,160436,938497,"R$ 951.455,03","R$ 1.644,70"
1396,8/3/2016,3,5,6,7,10,12,13,17,18,19,20,22,23,24,25,5,505,19274,207754,1063594,"R$ 303.788,58","R$ 1.322,11"
1397,8/5/2016,1,3,4,5,6,8,9,11,12,13,14,18,21,22,25,1,343,12085,162152,1005030,"R$ 1.956.783,83","R$ 1.755,36"
1398,8/8/2016,1,4,5,6,7,8,11,14,15,16,19,20,21,24,25,5,507,15784,145559,810338,"R$ 425.975,85","R$ 1.846,56"
1399,8/10/2016,4,5,6,8,9,12,13,14,15,17,19,21,22,24,25,2,572,18664,203881,974033,"R$ 809.306,65","R$ 1.243,84"
1400,8/12/2016,1,2,3,5,6,9,10,12,16,19,21,22,23,24,25,4,296,10909,158507,872145,"R$ 539.239,99","R$ 2.242,16"
1401,8/15/2016,1,3,4,5,6,7,8,14,15,18,19,21,22,24,25,4,296,11707,149711,802097,"R$ 422.732,64","R$ 1.757,73"
1402,8/17/2016,2,3,4,5,8,9,11,12,14,15,16,19,20,21,23,1,351,11707,149536,839885,"R$ 1.811.406,15","R$ 1.587,91"
1403,8/19/2016,3,4,5,8,9,10,11,12,13,15,16,17,21,23,25,1,392,14945,188912,1033178,"R$ 1.330.195,71","R$ 1.491,58"
1404,8/22/2016,1,2,3,4,8,10,11,13,15,16,18,19,21,22,25,0,829,14065,159685,865433,"R$ 0,00","R$ 844,76"
1405,8/24/2016,2,3,4,7,9,10,11,14,15,16,18,19,20,23,24,4,670,19218,212074,1121207,"R$ 946.197,34","R$ 1.437,81"
1406,8/26/2016,2,3,4,5,6,9,11,13,15,19,20,21,22,24,25,3,370,14477,176196,945787,"R$ 519.337,65","R$ 1.850,92"
1407,8/29/2016,1,2,4,5,6,7,10,12,13,20,21,22,23,24,25,0,301,11682,145150,806240,"R$ 0,00","R$ 1.812,66"
1408,9/6/2016,1,3,5,8,10,11,12,13,14,19,21,22,23,24,25,10,4120,141813,1857700,9732743,"R$ 8.227.506,94","R$ 1.661,12"
1409,9/9/2016,1,2,4,6,7,8,11,12,14,16,17,19,22,24,25,10,864,21432,195835,986387,"R$ 234.987,40","R$ 1.195,49"
1410,9/12/2016,2,3,4,5,6,7,9,10,14,15,16,17,20,21,23,1,628,19893,180444,963967,"R$ 1.917.825,68","R$ 1.342,35"
1411,9/14/2016,1,5,6,7,8,9,10,12,13,14,15,16,17,21,23,2,373,10672,156394,1002188,"R$ 974.404,53","R$ 1.607,60"
1412,9/16/2016,5,6,7,9,11,13,15,16,18,19,21,22,23,24,25,5,618,19484,220522,1119773,"R$ 306.562,41","R$ 1.090,23"
1413,9/19/2016,2,3,4,5,6,7,8,9,10,13,16,17,18,21,25,3,273,10133,140893,873320,"R$ 698.777,25","R$ 2.362,73"
1414,9/21/2016,2,3,4,5,7,9,10,11,13,14,16,17,20,21,23,4,761,28439,215104,1044773,"R$ 347.118,94","R$ 801,99"
1415,9/23/2016,2,4,5,6,10,12,13,15,17,18,19,22,23,24,25,5,739,18866,204629,1030278,"R$ 324.543,43","R$ 965,19"
1416,9/26/2016,3,4,5,7,8,9,10,12,14,15,17,18,19,20,24,1,573,17732,195424,985629,"R$ 1.551.298,05","R$ 1.190,03"
1417,9/28/2016,1,2,3,4,6,7,9,11,13,14,15,18,19,22,23,4,401,14140,172836,956173,"R$ 408.409,14","R$ 1.790,72"
1418,9/30/2016,2,4,6,9,10,11,13,14,15,17,18,20,21,22,23,4,590,16008,185448,993010,"R$ 444.300,08","R$ 1.324,04"
1419,10/3/2016,2,3,6,7,11,12,15,16,17,18,19,20,21,23,24,4,256,9284,128845,811681,"R$ 542.070,72","R$ 2.606,11"
1420,10/5/2016,1,4,6,7,8,10,13,14,15,16,17,20,22,23,25,3,381,12458,157155,886653,"R$ 670.831,75","R$ 1.625,27"
1421,10/7/2016,3,5,6,7,8,9,11,12,14,17,18,19,20,23,24,5,441,17061,214784,1103637,"R$ 345.607,73","R$ 1.722,39"
1422,10/10/2016,1,4,5,7,10,11,13,14,15,16,17,19,22,23,24,3,441,15035,177266,944591,"R$ 581.744,73","R$ 1.739,53"
1423,10/14/2016,1,2,4,5,7,8,11,12,13,14,15,16,19,22,23,1,441,16270,223775,1235621,"R$ 2.503.550,17","R$ 1.746,76"
1424,10/17/2016,2,4,5,6,8,9,10,11,13,17,18,20,21,23,25,8,1253,26506,233466,1021794,"R$ 143.695,63","R$ 403,27"
1425,10/19/2016,1,3,4,5,8,9,11,12,13,14,16,19,20,21,25,0,328,11280,154433,891211,"R$ 0,00","R$ 1.810,27"
1426,10/21/2016,2,3,4,7,8,10,12,14,15,16,18,22,23,24,25,11,1037,28478,294329,1377035,"R$ 365.219,34","R$ 884,91"
1427,10/24/2016,1,2,7,10,11,12,14,15,16,17,18,19,20,22,25,2,194,9485,132255,829941,"R$ 1.030.986,64","R$ 3.270,38"
1428,10/26/2016,2,3,4,5,6,8,9,13,17,18,19,20,21,22,25,0,297,11583,169506,904542,"R$ 0,00","R$ 1.813,59"
1429,10/28/2016,5,7,8,9,10,12,13,14,15,16,18,19,20,21,25,3,572,19724,245731,1296262,"R$ 1.288.976,27","R$ 1.626,34"
1430,10/31/2016,1,3,4,5,7,8,9,13,15,16,20,21,22,23,25,2,385,14778,186966,1025736,"R$ 778.316,52","R$ 1.777,23"
1431,11/4/2016,1,2,7,8,9,10,12,14,15,16,17,19,20,23,25,1,469,17725,224459,1227154,"R$ 2.554.180,29","R$ 1.675,70"
1432,11/7/2016,1,3,4,5,10,11,12,16,17,18,20,21,23,24,25,5,331,11035,160425,949655,"R$ 408.084,66","R$ 1.896,75"
1433,11/9/2016,3,6,7,9,10,12,14,15,16,18,20,22,23,24,25,3,505,18120,203594,990252,"R$ 574.057,40","R$ 1.499,00"
1434,11/11/2016,3,4,5,6,7,9,10,12,13,15,18,19,22,23,24,4,668,20015,223402,1119694,"R$ 384.540,92","R$ 1.012,14"
1435,11/14/2016,1,2,3,4,5,6,9,10,12,16,17,19,20,21,23,0,239,10060,150104,855059,"R$ 0,00","R$ 2.708,34"
1436,11/16/2016,1,2,3,5,6,8,11,12,15,17,18,19,22,23,24,1,404,14803,178046,962902,"R$ 4.193.218,85","R$ 1.591,41"
1437,11/18/2016,2,4,5,6,7,8,9,11,13,14,17,19,20,23,25,3,840,22165,223860,1071078,"R$ 507.086,59","R$ 796,05"
1438,11/21/2016,1,4,7,8,9,10,11,12,14,15,17,20,21,22,24,0,337,14018,166183,879250,"R$ 0,00","R$ 1.762,37"
1439,11/23/2016,1,2,3,5,11,12,13,14,15,16,17,18,19,22,24,5,369,15188,184161,1158942,"R$ 943.702,11","R$ 2.325,01"
1440,11/25/2016,2,3,8,10,12,13,14,16,17,18,20,21,22,24,25,1,410,15562,183211,957678,"R$ 1.795.194,85","R$ 1.347,24"
1441,11/28/2016,1,3,4,5,6,7,9,10,11,13,16,19,22,23,25,2,682,20382,209250,991858,"R$ 668.097,10","R$ 861,19"
1442,11/30/2016,1,2,3,4,7,9,11,12,13,15,16,17,19,20,21,2,318,12537,165425,896706,"R$ 852.233,93","R$ 1.649,22"
1443,12/2/2016,1,2,3,5,7,8,9,10,11,12,14,15,16,17,24,2,378,13835,200595,973818,"R$ 985.648,09","R$ 1.604,64"
1444,12/5/2016,1,2,4,5,6,9,10,11,14,15,17,18,20,21,24,3,435,14685,171577,907008,"R$ 677.563,37","R$ 1.437,80"
1445,12/7/2016,1,4,5,6,8,10,13,15,16,17,18,20,22,23,25,3,709,24490,239746,1026831,"R$ 503.879,56","R$ 937,17"
1446,12/9/2016,1,4,6,7,8,12,13,16,17,20,21,22,23,24,25,0,315,10994,149113,869786,"R$ 0,00","R$ 2.203,84"
1447,12/12/2016,1,3,4,5,8,11,12,13,17,18,19,21,22,24,25,5,604,19821,245596,1323641,"R$ 914.001,43","R$ 1.683,88"
1448,12/14/2016,1,3,4,5,6,8,12,13,16,18,19,21,22,23,24,2,433,15901,199502,976377,"R$ 862.868,40","R$ 1.751,88"
1449,12/16/2016,1,3,4,5,6,7,8,9,11,15,16,20,22,23,24,4,428,11622,152640,881720,"R$ 562.072,22","R$ 1.616,31"
1450,12/19/2016,1,2,4,5,8,9,10,13,14,16,17,19,20,22,24,1,376,13762,163988,902248,"R$ 1.992.328,20","R$ 1.630,38"
1451,12/21/2016,1,2,3,5,10,12,13,14,15,19,20,21,23,24,25,2,350,15053,206333,1043488,"R$ 808.904,67","R$ 1.422,25"
1452,12/23/2016,2,5,7,8,10,11,13,14,15,17,20,21,23,24,25,8,1021,25464,241290,1136397,"R$ 166.632,69","R$ 573,90"
1453,12/26/2016,1,2,5,8,9,10,13,14,15,16,19,21,23,24,25,5,462,14502,171217,904123,"R$ 297.695,33","R$ 1.416,18"
1454,12/28/2016,1,3,4,7,10,12,13,14,18,19,20,21,22,23,25,1,422,15263,183501,984525,"R$ 1.592.697,16","R$ 1.658,97"
1455,12/30/2016,2,5,7,8,14,15,16,17,18,19,20,21,22,23,25,4,280,10990,150147,938591,"R$ 514.662,04","R$ 2.262,25"
1456,1/2/2017,1,2,6,7,8,9,12,13,14,15,19,20,21,24,25,2,338,10449,124986,732159,"R$ 874.324,31","R$ 1.591,85"
1457,1/4/2017,1,2,3,4,7,8,9,10,11,13,14,15,18,23,24,1,376,14583,214624,986330,"R$ 1.504.968,43","R$ 1.759,37"
1458,1/6/2017,1,2,3,5,7,9,11,14,17,18,19,20,22,23,24,5,465,17307,204837,1070579,"R$ 356.213,76","R$ 1.683,62"
1459,1/9/2017,1,4,6,9,10,12,13,14,16,17,18,19,20,24,25,2,250,11377,143543,852116,"R$ 1.025.074,08","R$ 2.523,26"
1460,1/11/2017,1,3,5,7,11,14,15,16,17,18,19,20,21,24,25,1,284,12260,173748,1012009,"R$ 1.679.366,25","R$ 1.819,47"
1461,1/13/2017,2,4,5,6,9,10,11,15,17,18,19,21,23,24,25,3,477,16714,198211,1006791,"R$ 625.164,78","R$ 1.728,28"
1462,1/16/2017,1,3,4,5,7,9,12,13,14,16,17,20,21,24,25,7,539,17085,194056,991886,"R$ 216.778,01","R$ 1.237,49"
1463,1/18/2017,3,4,6,7,10,11,13,14,15,17,19,20,22,23,24,8,627,16771,180964,927889,"R$ 207.383,64","R$ 1.163,09"
1464,1/20/2017,1,4,9,10,11,12,13,14,15,16,17,18,22,23,24,1,292,10246,141550,866787,"R$ 2.016.298,04","R$ 2.124,66"
1465,1/23/2017,2,5,7,8,9,10,12,14,16,19,20,21,22,23,24,2,336,13305,170497,931139,"R$ 881.947,85","R$ 1.615,29"
1466,1/25/2017,2,3,4,6,10,11,12,14,19,20,21,22,23,24,25,1,389,14765,154813,833086,"R$ 1.755.067,27","R$ 1.388,23"
1467,1/27/2017,1,4,5,6,9,10,11,12,19,20,21,22,23,24,25,8,597,15334,177859,880104,"R$ 234.111,30","R$ 1.378,97"
1468,1/30/2017,2,3,5,6,8,11,12,13,14,18,19,20,21,23,24,4,483,17745,193273,992421,"R$ 382.413,26","R$ 1.392,08"
1469,2/1/2017,1,2,3,5,6,7,8,9,11,13,16,17,18,19,20,2,861,15983,147795,887046,"R$ 1.014.704,42","R$ 1.036,06"
1470,2/3/2017,2,3,7,8,11,12,13,14,15,18,20,21,22,23,24,2,421,14548,201070,1103786,"R$ 864.924,39","R$ 1.806,11"
1471,2/6/2017,1,2,4,6,7,8,10,11,13,15,18,20,21,22,24,2,815,19590,186146,915251,"R$ 874.764,39","R$ 943,58"
